IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
146.235.231.239,443,true,SJC,北美洲,美国圣何塞,13 ms,6240 kB/s
158.101.21.57,2443,true,LAX,北美洲,美国洛杉矶,9 ms,6213 kB/s
130.162.157.70,443,true,SIN,亚太,新加坡,207 ms,6206 kB/s
172.233.163.38,443,true,MIA,北美洲,迈阿密,69 ms,6202 kB/s
64.181.247.243,443,true,SJC,北美洲,美国圣何塞,11 ms,6201 kB/s
64.176.167.253,443,true,TLV,中东,以色列特拉维夫,191 ms,6169 kB/s
163.192.49.221,50008,true,SJC,北美洲,美国圣何塞,10 ms,6153 kB/s
129.154.54.67,19567,true,ICN,亚太,韩国首尔,132 ms,6140 kB/s
129.146.198.253,28443,true,LAX,北美洲,美国洛杉矶,9 ms,6125 kB/s
129.146.249.198,443,true,LAX,北美洲,美国洛杉矶,10 ms,6121 kB/s
46.101.243.68,443,true,FRA,欧洲,德国法兰克福,143 ms,6109 kB/s
129.153.214.71,16666,true,LAX,北美洲,美国洛杉矶,10 ms,6107 kB/s
141.148.158.226,2053,true,LAX,北美洲,美国洛杉矶,10 ms,6103 kB/s
163.192.47.170,443,true,SJC,北美洲,美国圣何塞,8 ms,6097 kB/s
139.180.133.2,443,true,SIN,亚太,新加坡,181 ms,6077 kB/s
172.237.103.101,443,true,LHR,欧洲,英国伦敦,141 ms,6053 kB/s
164.92.211.71,41322,true,AMS,欧洲,荷兰阿姆斯特丹,147 ms,6052 kB/s
192.9.156.27,587,true,SJC,北美洲,美国圣何塞,11 ms,6045 kB/s
192.9.135.182,7800,true,SJC,北美洲,美国圣何塞,13 ms,6023 kB/s
206.189.102.57,443,true,AMS,欧洲,荷兰阿姆斯特丹,153 ms,6014 kB/s
143.47.96.200,443,true,IAD,北美洲,美国阿什伯恩,61 ms,6007 kB/s
149.28.159.222,443,true,SIN,亚太,新加坡,192 ms,6004 kB/s
170.9.4.21,443,true,SJC,北美洲,美国圣何塞,11 ms,5979 kB/s
131.186.26.191,20002,true,ICN,亚太,韩国首尔,140 ms,5975 kB/s
141.148.93.235,443,true,IAD,北美洲,美国阿什伯恩,58 ms,5973 kB/s
172.232.43.101,8443,true,CDG,欧洲,法国巴黎,140 ms,5967 kB/s
207.148.121.53,18443,true,SIN,亚太,新加坡,181 ms,5926 kB/s
131.186.26.191,20035,true,ICN,亚太,韩国首尔,131 ms,5909 kB/s
64.181.255.215,443,true,SJC,北美洲,美国圣何塞,8 ms,5905 kB/s
129.212.212.50,8443,true,AMS,欧洲,荷兰阿姆斯特丹,150 ms,5893 kB/s
159.54.185.117,7653,true,SJC,北美洲,美国圣何塞,9 ms,5874 kB/s
161.35.72.112,443,true,FRA,欧洲,德国法兰克福,152 ms,5873 kB/s
209.38.38.145,443,true,AMS,欧洲,荷兰阿姆斯特丹,148 ms,5862 kB/s
141.148.161.95,443,true,LAX,北美洲,美国洛杉矶,10 ms,5851 kB/s
129.213.126.80,4443,true,EWR,北美洲,美国纽瓦克,67 ms,5843 kB/s
209.38.181.123,443,true,FRA,欧洲,德国法兰克福,153 ms,5835 kB/s
144.24.84.212,49888,true,ICN,亚太,韩国首尔,135 ms,5834 kB/s
45.79.249.204,2086,true,FRA,欧洲,德国法兰克福,146 ms,5777 kB/s
192.18.136.86,9002,true,SJC,北美洲,美国圣何塞,9 ms,5748 kB/s
138.3.217.167,587,true,NRT,亚太,日本东京,102 ms,5735 kB/s
208.76.222.234,443,true,MAD,欧洲,西班牙马德里,146 ms,5725 kB/s
161.35.179.97,443,true,EWR,北美洲,美国纽瓦克,70 ms,5710 kB/s
95.179.161.115,442,true,FRA,欧洲,德国法兰克福,153 ms,5684 kB/s
131.186.26.191,20028,true,ICN,亚太,韩国首尔,130 ms,5617 kB/s
138.2.59.112,443,true,SJC,北美洲,美国圣何塞,104 ms,5617 kB/s
158.101.158.212,80,true,NRT,亚太,日本东京,106 ms,5614 kB/s
40.233.77.216,443,true,YYZ,北美洲,加拿大多伦多,66 ms,5609 kB/s
158.101.5.192,8443,true,LAX,北美洲,美国洛杉矶,9 ms,5594 kB/s
130.61.235.213,4090,true,FRA,欧洲,德国法兰克福,151 ms,5594 kB/s
140.82.57.251,9443,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,5593 kB/s
143.47.106.36,4443,true,IAD,北美洲,美国阿什伯恩,63 ms,5573 kB/s
128.199.41.142,8443,true,AMS,欧洲,荷兰阿姆斯特丹,150 ms,5563 kB/s
64.110.109.243,8223,true,KIX,亚太,大阪,103 ms,5560 kB/s
158.101.80.84,443,true,NRT,亚太,日本东京,101 ms,5557 kB/s
162.211.231.225,3443,true,AMS,欧洲,荷兰阿姆斯特丹,147 ms,5552 kB/s
162.211.230.243,443,true,AMS,欧洲,荷兰阿姆斯特丹,170 ms,5541 kB/s
131.186.26.191,20085,true,ICN,亚太,韩国首尔,140 ms,5538 kB/s
64.227.75.160,443,true,AMS,欧洲,荷兰阿姆斯特丹,143 ms,5538 kB/s
167.71.187.216,2233,true,EWR,北美洲,美国纽瓦克,69 ms,5538 kB/s
129.154.223.89,15800,true,ICN,亚太,韩国首尔,131 ms,5537 kB/s
158.101.146.3,44872,true,NRT,亚太,日本东京,101 ms,5534 kB/s
155.248.176.40,7443,true,NRT,亚太,日本东京,101 ms,5520 kB/s
138.2.18.82,8880,true,NRT,亚太,日本东京,100 ms,5517 kB/s
129.159.34.196,443,true,SJC,北美洲,美国圣何塞,13 ms,5515 kB/s
146.190.79.181,443,true,EWR,北美洲,美国纽瓦克,69 ms,5513 kB/s
45.77.35.218,443,true,SIN,亚太,新加坡,176 ms,5481 kB/s
131.186.26.191,20037,true,ICN,亚太,韩国首尔,133 ms,5474 kB/s
104.248.204.227,8443,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,5472 kB/s
164.90.231.80,8080,true,FRA,欧洲,德国法兰克福,152 ms,5470 kB/s
188.166.79.180,443,true,AMS,欧洲,荷兰阿姆斯特丹,149 ms,5468 kB/s
146.56.140.79,44699,true,ICN,亚太,韩国首尔,130 ms,5463 kB/s
136.244.95.103,8443,true,FRA,欧洲,德国法兰克福,144 ms,5454 kB/s
64.110.109.243,7443,true,KIX,亚太,大阪,104 ms,5426 kB/s
95.179.140.212,443,true,AMS,欧洲,荷兰阿姆斯特丹,156 ms,5411 kB/s
168.138.45.233,1169,true,KIX,亚太,大阪,114 ms,5408 kB/s
64.110.105.217,8800,true,KIX,亚太,大阪,104 ms,5405 kB/s
168.138.197.147,12345,true,NRT,亚太,日本东京,100 ms,5403 kB/s
161.33.190.243,443,true,NRT,亚太,日本东京,101 ms,5403 kB/s
140.83.86.166,443,true,KIX,亚太,大阪,129 ms,5391 kB/s
129.80.242.71,2083,true,IAD,北美洲,美国阿什伯恩,65 ms,5387 kB/s
79.76.56.219,443,true,ARN,欧洲,瑞典斯德哥尔摩,166 ms,5380 kB/s
172.236.29.136,443,true,LHR,欧洲,英国伦敦,144 ms,5379 kB/s
141.147.185.63,443,true,NRT,亚太,日本东京,100 ms,5373 kB/s
172.232.139.158,443,true,ARN,欧洲,瑞典斯德哥尔摩,158 ms,5373 kB/s
150.136.56.43,2083,true,IAD,北美洲,美国阿什伯恩,60 ms,5360 kB/s
139.180.159.133,443,true,SIN,亚太,新加坡,180 ms,5356 kB/s
152.70.101.24,16992,true,NRT,亚太,日本东京,101 ms,5356 kB/s
23.106.143.52,443,true,KIX,亚太,大阪,117 ms,5354 kB/s
193.123.161.116,443,true,NRT,亚太,日本东京,101 ms,5343 kB/s
158.101.145.82,443,true,NRT,亚太,日本东京,101 ms,5334 kB/s
168.138.212.80,443,true,NRT,亚太,日本东京,100 ms,5331 kB/s
150.230.214.172,16957,true,NRT,亚太,日本东京,101 ms,5323 kB/s
206.81.18.247,9443,true,FRA,欧洲,德国法兰克福,153 ms,5319 kB/s
138.2.26.118,20020,true,NRT,亚太,日本东京,100 ms,5318 kB/s
138.2.29.119,443,true,NRT,亚太,日本东京,111 ms,5310 kB/s
131.186.38.156,8443,true,NRT,亚太,日本东京,110 ms,5297 kB/s
209.38.97.3,8443,true,AMS,欧洲,荷兰阿姆斯特丹,149 ms,5296 kB/s
64.225.66.79,12443,true,AMS,欧洲,荷兰阿姆斯特丹,140 ms,5273 kB/s
167.71.66.234,9443,true,AMS,欧洲,荷兰阿姆斯特丹,142 ms,5268 kB/s
158.179.176.239,443,true,NRT,亚太,日本东京,100 ms,5267 kB/s
140.83.83.65,9872,true,KIX,亚太,大阪,104 ms,5258 kB/s
150.230.5.126,443,true,KIX,亚太,大阪,132 ms,5253 kB/s
152.70.39.27,56789,true,ICN,亚太,韩国首尔,132 ms,5251 kB/s
217.142.138.61,37914,true,ICN,亚太,韩国首尔,130 ms,5236 kB/s
152.70.101.24,16001,true,NRT,亚太,日本东京,101 ms,5235 kB/s
150.230.5.34,45681,true,KIX,亚太,大阪,104 ms,5234 kB/s
140.238.9.171,50007,true,ICN,亚太,韩国首尔,140 ms,5225 kB/s
131.186.26.191,20024,true,ICN,亚太,韩国首尔,130 ms,5225 kB/s
138.2.59.96,10129,true,KIX,亚太,大阪,103 ms,5221 kB/s
152.70.89.135,587,true,ICN,亚太,韩国首尔,138 ms,5199 kB/s
138.2.48.109,26412,true,KIX,亚太,大阪,104 ms,5196 kB/s
130.162.225.253,443,true,FRA,欧洲,德国法兰克福,154 ms,5196 kB/s
188.166.14.125,98,true,AMS,欧洲,荷兰阿姆斯特丹,140 ms,5193 kB/s
150.230.196.57,2096,true,NRT,亚太,日本东京,101 ms,5191 kB/s
138.2.39.24,443,true,KIX,亚太,大阪,103 ms,5184 kB/s
138.2.39.24,12308,true,KIX,亚太,大阪,130 ms,5183 kB/s
172.236.187.52,443,true,BOM,亚太,印度孟买,260 ms,5176 kB/s
132.145.84.148,39567,true,ICN,亚太,韩国首尔,130 ms,5172 kB/s
45.77.51.185,80,true,SYD,大洋洲,澳大利亚悉尼,154 ms,5170 kB/s
132.145.90.204,8680,true,ICN,亚太,韩国首尔,130 ms,5164 kB/s
140.238.2.81,587,true,ICN,亚太,韩国首尔,130 ms,5154 kB/s
64.110.101.31,8443,true,KIX,亚太,大阪,113 ms,5146 kB/s
132.226.197.103,443,true,FRA,欧洲,德国法兰克福,148 ms,5126 kB/s
